"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 07 12:21:31 AEDT 2022","Fri Oct 07 12:21:47 AEDT 2022","16105","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_gotoCarBrand[chrome-Honda-Honda Cars]",""
"passed","Sat Oct 22 22:34:37 AEDT 2022","Sat Oct 22 22:35:20 AEDT 2022","42487","BDD.PythonPageObjectModel.Tests","test_searchAndFilter","Test_searchAndFilter","","","test_searchUsingBudget[chrome-Toyota-Toyota Cars]",""
"skipped","Fri Oct 07 12:21:50 AEDT 2022","Fri Oct 07 12:21:50 AEDT 2022","0","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_getCarNameAndPrice[chrome-Hyundai-Hyundai Cars]",""
"skipped","Fri Oct 07 12:21:50 AEDT 2022","Fri Oct 07 12:21:50 AEDT 2022","0","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_getCarNameAndPrice[chrome-Bmw-BMW Cars]",""
"passed","Sat Oct 22 22:36:57 AEDT 2022","Sat Oct 22 22:37:54 AEDT 2022","56958","BDD.PythonPageObjectModel.Tests","test_searchAndFilter","Test_searchAndFilter","","","test_searchUsingBudget[chrome-Hyundai-Hyundai Cars]",""
"passed","Fri Oct 07 12:20:33 AEDT 2022","Fri Oct 07 12:20:47 AEDT 2022","13728","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_gotoCarBrand[chrome-Toyota-Toyota Cars]",""
"passed","Fri Oct 07 12:20:09 AEDT 2022","Fri Oct 07 12:20:22 AEDT 2022","13752","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_gotoCarBrand[chrome-Bmw-BMW Cars]",""
"skipped","Fri Oct 07 12:21:50 AEDT 2022","Fri Oct 07 12:21:50 AEDT 2022","0","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_getCarNameAndPrice[chrome-Toyota-Toyota Cars]",""
"passed","Fri Oct 07 12:19:46 AEDT 2022","Fri Oct 07 12:19:58 AEDT 2022","11256","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_gotoNewCar[chrome]",""
"passed","Fri Oct 07 12:20:58 AEDT 2022","Fri Oct 07 12:21:17 AEDT 2022","19428","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_gotoCarBrand[chrome-Hyundai-Hyundai Cars]",""
"skipped","Fri Oct 07 12:21:50 AEDT 2022","Fri Oct 07 12:21:50 AEDT 2022","0","BDD.PythonPageObjectModel.Tests","test_carwale","Test_CarWale","","","test_getCarNameAndPrice[chrome-Honda-Honda Cars]",""
"passed","Sat Oct 22 22:35:36 AEDT 2022","Sat Oct 22 22:36:37 AEDT 2022","61119","BDD.PythonPageObjectModel.Tests","test_searchAndFilter","Test_searchAndFilter","","","test_searchUsingBudget[chrome-BMW-BMW Cars]",""
"passed","Sat Oct 22 22:33:25 AEDT 2022","Sat Oct 22 22:34:16 AEDT 2022","51328","BDD.PythonPageObjectModel.Tests","test_searchAndFilter","Test_searchAndFilter","","","test_searchUsingBudget[chrome-Honda-Honda Cars]",""
